Concrete,{'Limestone': 3},{'Concrete': 1},
Limestone,{'Limestone': 1},{'Limestone': 1},
Alternate: Wet Concrete,"{'Limestone': 6, 'Water': 5}",{'Concrete': 4},
Alternate: Fine Concrete,"{'Silica': 3, 'Limestone': 12}",{'Concrete': 10},
Alternate: Cheap Silica,"{'Raw Quartz': 3, 'Limestone': 5}",{'Silica': 7},
Iron Ore,{'Iron Ore': 1},{'Iron Ore': 1},
Alternate: Coke Steel Ingot,"{'Iron Ore': 15, 'Petroleum Coke': 15}",{'Steel Ingot': 20},
Alternate: Copper Alloy Ingot,"{'Copper Ore': 10, 'Iron Ore': 5}",{'Copper Ingot': 20},
Alternate: Pure Iron Ingot,"{'Iron Ore': 7, 'Water': 4}",{'Iron Ingot': 13},
Steel Ingot,"{'Iron Ore': 3, 'Coal': 3}",{'Steel Ingot': 3},
Alternate: Iron Alloy Ingot,"{'Iron Ore': 2, 'Copper Ore': 2}",{'Iron Ingot': 5},
Alternate: Compacted Steel Ingot,"{'Iron Ore': 6, 'Compacted Coal': 3}",{'Steel Ingot': 10},
Copper Ingot,{'Copper Ore': 1},{'Copper Ingot': 1},
Copper Ore,{'Copper Ore': 1},{'Copper Ore': 1},
Caterium Ore,{'Caterium Ore': 1},{'Caterium Ore': 1},
Caterium Ingot,{'Caterium Ore': 3},{'Caterium Ingot': 1},
Coal,{'Coal': 1},{'Coal': 1},
Alternate: Compacted Coal,"{'Coal': 5, 'Sulfur': 5}",{'Compacted Coal': 5},
Alternate: Solid Steel Ingot,"{'Iron Ingot': 2, 'Coal': 2}",{'Steel Ingot': 3},
Gas Filter,"{'Coal': 5, 'Rubber': 2, 'Fabric': 2}",{'Gas Filter': 1},
Black powder,"{'Coal': 1, 'Sulfur': 2}",{'Black Powder': 1},
Raw Quartz,{'Raw Quartz': 1},{'Raw Quartz': 1},
Quartz Crystal,{'Raw Quartz': 5},{'Quartz Crystal': 3},
Silica,{'Raw Quartz': 3},{'Silica': 5},
Sulfur,{'Sulfur': 1},{'Sulfur': 1},
Alternate: Fine Black Powder,"{'Sulfur': 2, 'Compacted Coal': 1}",{'Black Powder': 4},
Battery,"{'Alclad Aluminum Sheet': 8, 'Wire': 16, 'Sulfur': 20, 'Plastic': 8}",{'Battery': 3},
Alternate: Infused Uranium Cell,"{'Uranium Pellet': 40, 'Sulfur': 45, 'Silica': 45, 'Quickwire': 75}",{'Encased Uranium Cell': 35},
Bauxite,{'Bauxite': 1},{'Bauxite': 1},
Uranium,{'Uranium': 1},{'Uranium': 1},
Water,{'Water': 0},{'Water': 0},
Residual Rubber,"{'Polymer Resin': 4, 'Water': 4}",{'Rubber': 2},
